Map_based	O
cloning	O
of	O
the	O
ERECT	B-PHENOTYPE
PANICLE	I-PHENOTYPE
3	O
gene	O
in	O
rice	O
.	O

Complete	O
loss	O
of	O
photoperiod	B-PHENOTYPE
response	I-PHENOTYPE
in	O
the	O
rice	O
mutant	O
line	O
X61	O
is	O
caused	O
by	O
deWciency	O
of	O
phytochrome	O
chromophore	O
biosynthesis	O
gene	O
.	O

The	O
Pik_p	O
resistance	B-PHENOTYPE
to	I-PHENOTYPE
Magnaporthe	I-PHENOTYPE
oryzae	I-PHENOTYPE
in	O
rice	O
is	O
mediated	O
by	O
a	O
pair	O
of	O
closely	O
linked	O
CC_NBS_LRR	O
genes	O
.	O

Fine	O
mapping	O
and	O
candidate	O
gene	O
analysis	O
of	O
dense	B-PHENOTYPE
and	I-PHENOTYPE
erect	I-PHENOTYPE
panicle	I-PHENOTYPE
3	O
,	O
DEP3	B-GENE
,	O
which	O
confers	O
high	O
grain	B-PHENOTYPE
yield	I-PHENOTYPE
in	O
rice(Oryza	O
sativa	O
L.	O
)	O
.	O

Fine	O
mapping	O
and	O
candidate	O
gene	O
analysis	O
of	O
the	O
novel	O
thermoensitive	O
genic	O
male	O
sterility	B-PHENOTYPE
tms9	O
gene	O
in	O
rice	O
.	O

Isolation	O
of	O
cold	O
stress_responsive	O
genes	O
in	O
the	O
reproductive	O
organs	O
,	O
and	O
characterization	O
of	O
the	O
OsLti6b	B-GENE
gene	O
from	O
rice(Oryza	O
sativa	O
L.	O
)	O
.	O

Overexpression	O
of	O
SBPase	B-GENE
enhances	O
photosynthesis	O
against	O
high	O
temperature	O
stress	O
in	O
transgenic	O
rice	O
plants	O
.	O

Knockout	O
of	O
a	O
starch	O
synthase	O
gene	O
OsSSIIIa	O
/	O
Flo5	B-GENE
causes	O
white_core	O
floury	B-PHENOTYPE
endosperm	I-PHENOTYPE
in	O
rice	O
(	O
Oryza	O
sativa	O
L.	O
)	O
.	O

Enhanced	O
heat	O
and	O
drought	B-PHENOTYPE
tolerance	I-PHENOTYPE
in	O
transgenic	O
rice	O
seedlings	O
overexpressing	O
OsWRKY11	B-GENE
under	O
the	O
control	O
of	O
HSP101	O
promoter	O
.	O

Overexpressed	O
glutamine	O
synthetase	O
gene	O
modifies	O
nitrogen	O
metabolism	O
and	O
abiotic	O
stress	O
responses	O
in	O
rice	O
.	O

Selecting	O
genetic	O
transformants	O
of	O
indica	O
and	O
indica_derived	O
rice	O
cultivars	O
using	O
bispyribac	O
sodium	O
and	O
a	O
mutated	O
ALS	B-GENE
gene	O
.	O

Heading	B-PHENOTYPE
date	I-PHENOTYPE
gene	O
,	O
dth3	B-GENE
controlled	O
late	O
flowering	O
in	O
O.	O
Glaberrima	O
Steud	O
.	O
by	O
down_regulating	O
Ehd1	B-GENE
.	O

Heat	O
shock	O
factor	O
OsHsfB2b	B-GENE
negatively	O
regulates	O
drought	O
and	O
salt	O
tolerance	O
in	O
rice	O
.	O

A	O
knockdown	O
mutation	O
of	O
YELLOW_GREEN	O
LEAF2	O
blocks	O
chlorophyll	B-PHENOTYPE
biosynthesis	I-PHENOTYPE
in	O
rice	O
.	O

Gene	O
SGL	B-GENE
,	O
encoding	O
a	O
kinesin_like	O
protein	O
with	O
transactivation	O
activity	O
,	O
is	O
involved	O
in	O
grain	B-PHENOTYPE
length	I-PHENOTYPE
and	O
plant	B-PHENOTYPE
height	I-PHENOTYPE
in	O
rice	O
.	O

Overexpression	O
of	O
a	O
new	O
stress_repressive	O
gene	O
OsDSR2	B-GENE
encoding	O
a	O
protein	O
with	O
a	O
DUF966	O
domain	O
increases	O
salt	O
and	O
simulated	O
drought	O
stress	O
sensitivities	O
and	O
reduces	O
ABA	B-PHENOTYPE
sensitivity	I-PHENOTYPE
in	O
rice	O
.	O

The	O
rice	O
OsDG2	B-GENE
encoding	O
a	O
glycine_rich	O
protein	O
is	O
involved	O
in	O
the	O
regulation	O
of	O
chloroplast	B-PHENOTYPE
development	I-PHENOTYPE
during	O
early	O
seedling	O
stage	O
.	O

Albino	O
midrib	O
1	O
,	O
encoding	O
a	O
putative	O
potassium	O
efflux	O
antiporter	O
,	O
affects	O
chloroplast	B-PHENOTYPE
development	I-PHENOTYPE
and	O
drought	B-PHENOTYPE
tolerance	I-PHENOTYPE
in	O
rice	O
.	O

Strigolactone	O
Positively	O
Controls	O
Crown	B-PHENOTYPE
Root	I-PHENOTYPE
Elongation	O
in	O
Rice	O
.	O

Over_expression	O
of	O
rice	O
OsAGO7	B-GENE
gene	O
induces	O
upward	O
curling	O
of	O
the	O
leaf	O
blade	O
that	O
enhanced	O
erect_leaf	O
habit	O
.	O

Mitogen_activated	O
protein	O
kinase	O
OsMPK6	B-GENE
negatively	O
regulates	O
rice	O
disease	O
resistance	O
to	O
bacterial	O
pathogens	O
.	O

A	O
Ds_insertion	O
mutant	O
of	O
OSH6	B-GENE
(	O
Oryza	O
sativa	O
Homeobox	O
6)exhibits	O
outgrowth	O
of	O
vestigial	O
leaf_like	O
structures	O
,	O
bracts	O
,	O
in	O
rice	O
.	O

OsCYT_INV1	O
for	O
alkaline	O
/	O
neutral	O
invertase	O
is	O
involved	O
in	O
root	B-PHENOTYPE
cell	I-PHENOTYPE
development	I-PHENOTYPE
and	O
reproductivity	O
in	O
rice	O
(	O
Oryza	O
sativa	O
L.	O
)	O
.	O

Overexpression	O
of	O
the	O
trehalose_6_phosphate	O
phosphatase	O
gene	O
OsTPP1	B-GENE
confers	O
stress	O
tolerance	O
in	O
rice	O
and	O
results	O
in	O
the	O
activation	O
of	O
stress	O
responsive	O
genes	O
.	O

IdentiWcation	O
of	O
OsbZIP72	B-GENE
as	O
a	O
positive	O
regulator	O
of	O
ABA	O
response	O
and	O
drought	B-PHENOTYPE
tolerance	I-PHENOTYPE
in	O
rice	O
.	O

OsMSRA4.1	B-GENE
and	O
OsMSRB1.1	O
,	O
two	O
rice	O
plastidial	O
methionine	O
sulfoxide	O
reductases	O
,	O
are	O
involved	O
in	O
abiotic	O
stress	O
responses	O
.	O

A	O
putative	O
leucine_rich	O
repeat	O
receptor	O
kinase	O
,	O
OsBRR1	B-GENE
,	O
is	O
involved	O
in	O
rice	O
blast	B-PHENOTYPE
resistance	I-PHENOTYPE
.	O

The	O
expression	O
of	O
Orysa;CycB1;1	B-GENE
is	O
essential	O
for	O
endosperm	B-PHENOTYPE
formation	I-PHENOTYPE
and	O
causes	O
embryo	O
enlargement	O
in	O
rice	O
.	O

Rice	O
BRITTLE	B-PHENOTYPE
CULM	I-PHENOTYPE
3	O
(	O
BC3	B-GENE
)	O
encodes	O
a	O
classical	O
dynamin	O
OsDRP2B	O
essential	O
for	O
proper	O
secondary	B-PHENOTYPE
cell	I-PHENOTYPE
wall	I-PHENOTYPE
synthesis	I-PHENOTYPE
.	O

Isolation	O
of	O
a	O
novel	O
cell	O
wall	O
architecture	O
mutant	O
of	O
rice	O
with	O
defective	O
Arabidopsis	O
COBL4	O
ortholog	O
BC1	O
required	O
for	O
regulated	O
deposition	O
of	O
secondary	O
cell	O
wall	O
components	O
.	O

Identification	O
and	O
characterization	O
of	O
dwarf	O
62	O
,	O
a	O
loss_of_function	O
mutation	O
in	O
DLT	B-GENE
/	O
OsGRAS_32	O
affecting	O
gibberellin	B-PHENOTYPE
metabolism	I-PHENOTYPE
in	O
rice	O
.	O

A	O
rice	O
_1,3_glucanase	O
gene	O
Osg1	B-GENE
is	O
required	O
for	O
callose	O
